Row,d18O_GRIP,age_GRIP,d18O_GISP,age_GISP
161,-37.19,11189.1,-37.3,15533
162,-35.89,11197.35,-36.5,15585
163,-36.08,11205.1,-37.6,15629
164,-38,11213.9,-36.4,15674
165,-36.51,11222.9,-37.1,15727
166,-36.88,11231.3,-37,15774
167,-36.56,11239.7,-36.8,15818
168,-37.58,11248.45,-37.1,15866
169,-37.19,11257.55,-37.4,15913
170,-36.38,11266.05,-37.1,15954
171,-37.89,11274.95,-37,15995
172,-37.3,11284.3,-37.1,16049
173,-37.51,11293.45,-37.7,16104
174,-38.44,11303.35,-36.5,16159
175,-38.35,11313.8,-37.1,16217
176,-38.04,11324,-36.7,16265
177,-36.63,11333.15,-37.3,16307
178,-38.5,11342.65,-37,16350
179,-37.81,11352.85,-37.6,16394
180,-37.15,11362.15,-37.8,16447
181,-37.93,11371.5,-37.1,16492
182,-37.99,11381.35,-37.8,16531
183,-36.55,11390.5,-37.3,16571
184,-36.99,11399.05,-38.3,16615
185,-36.84,11407.7,-38.3,16660
186,-36.37,11416.1,-37.6,16703
187,-37.75,11425,-38.1,16748
188,-37.54,11434.5,-38.1,16792
189,-37.17,11443.7,-38,16837
190,-35.51,11452,-38.3,16888
191,-35.93,11459.7,-38.2,16947
192,-36.36,11467.7,-37.9,17018
193,-36.37,11475.9,-37.3,17079
194,-37.49,11484.7,-37.1,17145
195,-35.82,11493.3,-37.4,17205
196,-37.02,11501.65,-37.7,17259
197,-36.83,11510.4,-37.3,17314
198,-36.36,11518.85,-37.6,17368
199,-37.48,11527.7,-38.7,17421
200,-36.22,11536.45,-37,17470
201,-36.14,11544.55,-38,17520
202,-38.62,11554.1,-38.7,17569
203,-35.77,11563.5,-38.7,17628
204,-36.78,11571.75,-38.8,17707
205,-37.73,11580.95,-39.1,17794
206,-37.85,11590.75,-39.3,17897
207,-38.77,11601.35,-38.8,17985
208,-38.67,11612.6,-37.5,18085
209,-40.83,11626.35,-38.4,18154
210,-40.79,11642.55,-38.5,18220
211,-39.46,11656.95,-39.1,18283
212,-39.1,11669.3,-38.1,18334
213,-39.91,11682.15,-39.2,18387
214,-40.57,11696.8,-39.2,18448
215,-42.22,11715.55,-39.2,18499
216,-38.92,11732.35,-39.7,18540
217,-40.28,11745.55,-39.7,18587
218,-41.84,11763,-39.7,18649
219,-39.07,11779.1,-39.8,18708
220,-40.93,11793.45,-40.3,18764
221,-41.69,11811.65,-40.4,18857
222,-40.77,11829.6,-39.9,18937
223,-39.87,11844.55,-41,19006
224,-40.61,11859.3,-40.1,19078
225,-39.5,11873.65,-38.8,19138
226,-39.44,11886.5,-39.3,19202
227,-41.08,11901.55,-39.9,19274
228,-40.08,11917.35,-39,19334
229,-40.32,11932,-40.8,19398
230,-40.14,11946.75,-39,19461
231,-39.98,11961.05,-39.2,19523
232,-39.82,11974.95,-39.3,19573
233,-40.07,11988.95,-39.5,19624
234,-40.56,12004,-38.8,19687
235,-41.21,12020.85,-40.2,19743
236,-39.89,12036.75,-39.2,19791
237,-41.09,12052.45,-38.6,19839
238,-39.87,12068.1,-39.9,19889
239,-40.76,12083.2,-39.8,19939
240,-41.49,12100.95,-39.3,19990
241,-38.25,12115.85,-39.8,20046
242,-41.31,12130.4,-39.8,20105
243,-41.14,12148.45,-39,20148
244,-40.81,12165.6,-38.9,20191
245,-39.44,12180.4,-39.4,20234
246,-41.76,12197,-39.9,20277
247,-40.06,12214.35,-39.5,20315
248,-41.39,12230.95,-39.7,20350
249,-41.11,12249.2,-39.8,20386
250,-38.96,12264.1,-40,20460
251,-40.26,12277.6,-40.2,20536
252,-41.12,12294,-39.3,20600
253,-40.98,12311.55,-39.5,20646
254,-39.4,12326.65,-39.4,20698
255,-40.69,12341.3,-39.5,20778
256,-40.47,12357.35,-40.6,20825
257,-40.65,12373.3,-40.4,20866
258,-41.58,12391.25,-40,20904
259,-41.51,12410.8,-40.3,20959
260,-41.28,12429.7,-40.5,21039
261,-41.83,12449.3,-41.2,21128
262,-39.92,12466.85,-41.2,21215
263,-41.85,12484.45,-41.1,21279
264,-41.68,12504.95,-41.4,21344
265,-40.78,12523.4,-41.8,21409
266,-41.52,12541.55,-40.8,21503
267,-41.93,12561.95,-40.8,21598
268,-42.29,12584.2,-41,21686
269,-42.23,12607.2,-40.5,21773
270,-41.31,12628,-41.4,21876
271,-39.94,12644.55,-41,21976
272,-41.4,12661.25,-41.6,22059
273,-39.43,12677.4,-41.3,22152
274,-39.31,12690.5,-41.2,22246
275,-39.69,12703.9,-41.5,22317
276,-38.59,12716.55,-41.6,22380
277,-39.37,12728.85,-41.1,22443
278,-39.12,12741.7,-41.3,22533
279,-37.07,12752.7,-41.3,22610
280,-38.43,12763.05,-41.8,22682
281,-37.64,12773.8,-41.3,22756
282,-39.01,12785.1,-41,22843
283,-38.72,12797.2,-41.6,22936
284,-37.42,12808.05,-40.9,23032
285,-37.82,12818.2,-41.2,23125
286,-37.88,12828.65,-40.8,23210
287,-38.82,12839.95,-40.6,23273
288,-38.88,12852.1,-40.2,23347
289,-39.61,12865.05,-40.2,23497
290,-37.75,12877.1,-39.9,23773
291,-38.21,12887.8,-39.9,24008
292,-39.38,12899.95,-39.8,24267
293,-38.5,12912.35,-38.9,24591
294,-39.72,12925.15,-39.5,24873
295,-39.24,12938.7,-40.8,25167
296,-39.48,12951.95,-40,25452
297,-40.06,12966.2,-40,25677
298,-40.8,12982.3,-39.9,25990
299,-39.74,12998,-40.3,26331
300,-38.84,13011.2,-40.3,26490
301,-40.89,13026.05,-40.3,26580
302,-39.67,13041.85,-40.5,26660
303,-40.52,13057.05,-40.5,26736
304,-39.24,13071.75,-40.8,26813
305,-39.13,13084.7,-40.8,26898
306,-39.15,13097.55,-40.7,26994
307,-39.63,13111,-41.5,27096
308,-39.25,13124.55,-40.9,27195
309,-38.09,13136.6,-41.1,27282
310,-38.63,13148.05,-41.1,27360
311,-40.07,13161.6,-40.7,27441
312,-38.48,13175,-40,27522
313,-38.15,13186.4,-39.9,27626
314,-37.38,13197,-39.7,27730
315,-37.35,13207,-39.8,27817
316,-38.45,13217.85,-40.1,27909
317,-38.14,13229.25,-40,28010
318,-37.8,13240.1,-39.6,28126
319,-37.71,13250.7,-40.5,28215
320,-37.76,13261.3,-40.9,28298
321,-38.71,13272.65,-40.1,28371
322,-36.68,13283.35,-40,28441
323,-37.67,13293.25,-39.1,28507
324,-37.49,13303.65,-40,28563
325,-38.55,13314.75,-40.3,28612
326,-37.67,13325.95,-40.5,28667
327,-38.24,13336.9,-40.5,28742
328,-37.58,13347.8,-40.8,28832
329,-37.09,13357.9,-40.6,28911
330,-35.97,13367.15,-41.2,28987
331,-36.21,13375.95,-41.3,29056
332,-37.77,13385.75,-41.6,29116
333,-37.22,13396.1,-41,29178
334,-37.34,13406.15,-40,29242
335,-37.79,13416.6,-40.3,29313
336,-37.31,13427.05,-40.2,29391
337,-37.39,13437.2,-40,29461
338,-38.64,13448.4,-39.7,29564
339,-39.39,13461.35,-39.9,29695
340,-39.02,13474.65,-39.9,29772
341,-37.63,13486.4,-39.6,29844
342,-37.57,13496.95,-40.4,29915
343,-37.96,13507.75,-40,29991
344,-37.33,13518.4,-40.2,30083
345,-37.4,13528.65,-39.9,30160
346,-36.94,13538.65,-40,30232
347,-38.01,13549.1,-39.9,30326
348,-37.69,13560.05,-40.1,30424
349,-37.58,13570.7,-39.6,30525
350,-36.33,13580.55,-39.4,30622
351,-37.03,13590.05,-40.5,30703
352,-37.54,13600.3,-40.8,30784
353,-37.45,13610.8,-40.2,30866
354,-38,13621.6,-40,30944
355,-37.14,13632.25,-39.3,31021
356,-38.16,13643,-39.6,31101
357,-37.73,13654.15,-39.7,31183
358,-37.18,13664.65,-40,31267
359,-38.02,13675.35,-40.3,31323
360,-37.94,13686.6,-40,31378
361,-38.05,13697.85,-40.6,31447
362,-36.54,13708.25,-40.6,31522
363,-37.35,13718.15,-40.6,31595
364,-37.96,13728.95,-40.6,31677
365,-38.21,13740.4,-40.8,31778
366,-36.82,13751.1,-40.7,31903
367,-37.09,13761,-40.5,32012
368,-37.33,13771.2,-39.6,32136
369,-36.7,13781.25,-40.2,32249
370,-36.65,13790.9,-39.8,32328
371,-37.92,13801.3,-40,32415
372,-38.35,13812.9,-39.7,32511
373,-37.32,13824.1,-39.9,32595
374,-39.27,13836.2,-39.7,32684
375,-39.04,13849.75,-39.9,32772
376,-40.19,13864.5,-39.5,32849
377,-39.23,13879.45,-39.8,32922
378,-39.36,13893.35,-40.6,32978
379,-39.12,13907.15,-40.4,33034
380,-38.68,13920.2,-40.3,33126
381,-36.79,13931.45,-40.2,33238
382,-37.18,13941.55,-40.5,33363
383,-37.45,13952,-39.3,33493
384,-36.9,13962.3,-40,33625
385,-36.5,13972.05,-39.9,33718
386,-38.7,13983.2,-39.9,33806
387,-36.45,13994.35,-39.7,33896
388,-38.16,14004.95,-40,33987
389,-37.89,14016.5,-40.3,34063
390,-36.75,14027.1,-40,34140
391,-37.34,14037.3,-40.7,34220
392,-36.74,14047.5,-40.8,34300
393,-36.74,14057.35,-40.7,34379
394,-37.79,14067.9,-40.5,34455
395,-36.87,14078.5,-40.9,34533
396,-36.48,14088.3,-40.9,34622
397,-36.32,14097.85,-40.8,34719
398,-36.24,14107.3,-40.6,34801
399,-36.78,14116.95,-40.7,34882
400,-35.6,14126.35,-40.5,34949
401,-36.67,14135.7,-40.9,35020
402,-34.97,14144.8,-40.3,35093
403,-36.52,14153.85,-39.9,35166
404,-34.81,14162.85,-40,35240
405,-35.44,14171.4,-39.9,35293
406,-35.58,14180.25,-39.3,35358
407,-35.71,14189.15,-38.7,35442
408,-36.96,14198.75,-39.5,35531
409,-35.92,14208.45,-39.9,35610
410,-36.85,14218.05,-39.6,35680
411,-35.99,14227.75,-40.1,35743
412,-35.26,14236.7,-40.2,35802
413,-35.72,14245.55,-40.4,35862
414,-37.13,14255.3,-39.9,35923
415,-35.97,14265.15,-39.7,35981
416,-35.8,14274.35,-40,36037
417,-35.56,14283.35,-40.1,36104
418,-35.51,14292.25,-40.8,36179
419,-36.25,14301.45,-40.8,36247
420,-36.31,14311,-40.7,36317
421,-36.17,14320.55,-40.3,36388
422,-34.12,14329.35,-40.4,36460
423,-35.36,14337.8,-40.5,36542
424,-34.16,14346.25,-40.3,36622
425,-35.42,14354.75,-39.6,36694
426,-35.99,14363.85,-40,36769
427,-34.89,14372.75,-40,36849
428,-35.55,14381.5,-40,36923
429,-35.25,14390.4,-40.1,36989
430,-34.76,14399,-40.1,37065
431,-35.46,14407.7,-40.2,37142
432,-36.57,14417.15,-40.3,37230
433,-34.32,14426.25,-40,37316
434,-35.47,14434.85,-40.2,37403
435,-35.72,14443.9,-39.5,37489
436,-36.58,14453.5,-39.4,37573
437,-36.01,14463.2,-39.3,37675
438,-37.48,14473.5,-39.6,37795
439,-35.79,14483.7,-39.3,37909
440,-36.15,14493.1,-39.1,38038
441,-37.12,14503.25,-38.9,38156
442,-37.45,14514.15,-39.1,38263
443,-38.1,14525.8,-38.7,38344
444,-39.08,14538.95,-38.7,38405
445,-38.38,14552.3,-38.3,38474
446,-40.48,14567.65,-38.2,38544
447,-40.58,14585.9,-38.4,38620
448,-40.32,14603.85,-38.9,38699
449,-39.08,14619.7,-38.9,38770
450,-38.39,14633.15,-38.8,38840
451,-39.79,14647.5,-38.9,38903
452,-38.64,14662.1,-39.1,38962
453,-39.27,14676,-38.9,39020
454,-39.6,14691.05,-38.9,39091
455,-41.67,14710.35,-38.9,39163
456,-39.47,14729.5,-38.8,39239
457,-38.99,14744.1,-39.1,39315
458,-39.75,14759.05,-39.5,39386
459,-38.42,14773.45,-39.1,39455
460,-38.88,14786.8,-39.1,39520
461,-40.4,14802.7,-39,39568
462,-39.4,14819.25,-39.1,39615
463,-39.61,14834.6,-39.7,39663
464,-40.6,14851.75,-39,39723
465,-39.71,14869.05,-39.5,39789
466,-39.12,14884.2,-39.7,39854
467,-40.31,14900.3,-40.4,39902
468,-39.42,14916.8,-39.9,39951
469,-39.01,14931.5,-40,39999
470,-39.48,14946.25,-40.4,40060
471,-38.61,14960.6,-40.6,40122
472,-38.43,14973.8,-40.3,40179
473,-39.57,14988.1,-40.6,40234
474,-40.05,15004.4,-40.9,40286
475,-38.76,15019.75,-40.8,40335
476,-39.63,15034.55,-40.9,40383
477,-39.22,15049.85,-39.9,40428
478,-39.6,15065.1,-40.6,40472
479,-39.9,15081.3,-40.8,40508
480,-39.9,15097.95,-40.1,40545
481,-40.31,15115.25,-40.7,40578
482,-38.66,15131,-40.3,40610
483,-40.54,15147.2,-40.3,40641
484,-40,15165.1,-40.2,40673
485,-41.71,15185.5,-40.4,40706
486,-40.71,15207.1,-40.8,40739
487,-39.38,15224.45,-40.2,40787
488,-38.7,15239,-40.5,40839
489,-39.29,15253.4,-40.8,40899
490,-39.62,15268.9,-40.2,40952
491,-38.45,15283.55,-40.2,41003
492,-41.99,15302.9,-40,41050
493,-39.52,15323.5,-40,41095
494,-40.13,15340.15,-40,41130
495,-39.63,15356.95,-39.6,41164
496,-40.56,15374.5,-39.5,41205
497,-39.83,15392.3,-39.4,41253
498,-40.39,15409.85,-39.4,41323
499,-39.39,15426.8,-40,41392
500,-40.38,15443.75,-40.1,41463
501,-39.83,15461.35,-39.8,41525
502,-39.71,15477.85,-39.9,41579
503,-41.05,15496.55,-40.2,41679
504,-41.64,15519,-40.1,41835
505,-40.4,15540.2,-40.2,42001
506,-41.05,15560.05,-39,42194
507,-40.47,15580.05,-39.6,42373
508,-41.44,15600.95,-39.6,42511
509,-40.91,15622.7,-39.3,42628
510,-39.44,15640.85,-39.8,42755
511,-39.84,15657.15,-39.4,42882
512,-39.89,15674.1,-39.4,43010
513,-39.02,15689.95,-40.5,43130
514,-39.71,15705.55,-40.5,43257
515,-38.26,15720.4,-40.8,43429
516,-39.58,15735.05,-40.7,43596
517,-39.5,15751.1,-40.8,43777
518,-39.05,15766.5,-39.9,43962
519,-40.14,15782.85,-39.5,44139
520,-38.79,15798.95,-40.6,44302
521,-40.7,15816.05,-40.7,44428
522,-39.96,15834.7,-40.8,44537
523,-40.34,15852.7,-40,44648
524,-39.32,15869.8,-39.8,44738
525,-39.9,15886.2,-40,44823
526,-38.36,15901.55,-40,44913
527,-39.42,15916.2,-39.6,45006
528,-38.04,15930.55,-39.3,45098
529,-39.51,15945.05,-38.7,45192
530,-40.21,15962.25,-38.5,45284
531,-39.46,15979.4,-38.7,45363
532,-39.89,15996.05,-38.3,45419
533,-39.19,16012.4,-38.1,45482
534,-40.76,16030.3,-37.8,45576
535,-40.44,16050.05,-37.9,45691
536,-40.96,16070.2,-37.8,45829
537,-37.95,16087.2,-38.5,45966
538,-40.33,16103,-38.5,46103
539,-40.05,16121.35,-38.9,46239
540,-38.34,16137.1,-38.5,46372
541,-40.58,16153.75,-39.2,46506
542,-39.74,16172.1,-38.6,46642
543,-40.92,16191.2,-39.2,46783
544,-41.18,16212.95,-39.2,46918
545,-40.38,16233.65,-39.5,47048
546,-39.66,16251.6,-39.5,47178
547,-39.26,16267.85,-39.9,47306
548,-40.41,16285.3,-39.8,47433
549,-39.81,16303.55,-40,47560
550,-38.68,16319.4,-40.2,47686
551,-39.25,16334.45,-40,47812
552,-40.9,16352.9,-39.9,47936
553,-40.48,16373.3,-39.6,48060
554,-40.01,16392.1,-39.8,48183
555,-40.01,16410.05,-40.1,48305
556,-38.32,16425.85,-40.4,48426
557,-40.9,16443.35,-41,48546
558,-41.08,16465.05,-40.7,48666
559,-39.96,16485.05,-40.4,48786
560,-40.41,16503.7,-40.2,48905
561,-39.9,16522.3,-40.3,49023
562,-39.6,16539.6,-39.9,49140
563,-40.72,16558.35,-40.1,49255
564,-40.02,16577.75,-39.9,49370
565,-41.46,16598.8,-40.2,49485
566,-40.98,16621.75,-39.9,49599
567,-39.34,16640.75,-40.4,49714
568,-38.92,16656.35,-39.9,49827
569,-38.55,16671.05,-39.5,49940
570,-38.93,16685.8,-40.1,50051
571,-38.97,16701,-40,50162
572,-39.93,16717.6,-39.6,50272
573,-38.87,16734.15,-40,50382
574,-39.81,16750.5,-39.3,50491
575,-37.82,16765.75,-39.5,50599
576,-37.85,16778.7,-40.1,50704
577,-39.49,16793.55,-40,50809
578,-39.1,16809.75,-39.9,50915
579,-37.5,16823.8,-39.6,51022
580,-39.22,16838,-39.3,51127
581,-39.73,16854.75,-39.6,51232
582,-37.67,16869.9,-39.2,51335
583,-39.51,16884.7,-39.7,51439
584,-39.18,16901.1,-39.6,51543
585,-37.27,16915.15,-39.1,51645
586,-39.08,16929.05,-38.1,51746
587,-38.11,16943.7,-38.2,51847
588,-39.92,16959.6,-38.9,51947
589,-37.58,16975.05,-39.1,52045
590,-39.57,16989.95,-38.8,52144
591,-39.52,17006.95,-38.2,52242
592,-39.13,17023.4,-38.1,52341
593,-40.3,17041.15,-38.1,52437
594,-40.18,17060.45,-37.9,52585
595,-40.1,17079.45,-38.1,52738
596,-37.79,17095.45,-37.8,52889
597,-37.78,17108.55,-38.1,53040
598,-38.18,17122,-38.7,53191
599,-39.67,17137.7,-38.7,53340
600,-39.16,17154.55,-39,53487
601,-40.46,17172.7,-38.9,53633
602,-39.06,17190.75,-39.1,53780
603,-37.94,17205.45,-38.9,53926
604,-40.01,17221.5,-38.7,54070
605,-39.04,17238.75,-38.7,54215
606,-38.55,17254.05,-38,54357
607,-38.12,17268.3,-38.1,54487
608,-38.15,17282.2,-38.7,54616
609,-38.5,17296.5,-38.5,54756
610,-39.97,17313.1,-39.6,54896
611,-38.08,17329.3,-39.8,55036
612,-39.34,17344.6,-39.7,55174
613,-39.57,17361.7,-40.2,55310
614,-38.38,17377.6,-39.8,55445
615,-40.22,17394.6,-40,55579
616,-38.67,17411.95,-39.8,55713
617,-38.34,17426.7,-39.7,55847
618,-38.96,17441.8,-40,55979
619,-38.39,17457,-40.1,56177
620,-38.66,17471.85,-39.5,56437
621,-39.56,17488.15,-39.2,56693
622,-40.25,17506.8,-38.9,56946
623,-40.39,17526.9,-39.1,57208
624,-39.95,17546.5,-38.8,57468
625,-40.43,17566.15,-38.6,57710
626,-39.49,17585.1,-38.5,57900
627,-39.95,17603.2,-38,58087
628,-37.29,17618.9,-37.8,58270
629,-39.05,17633.3,-37.7,58451
630,-38.76,17649.15,-37.6,58629
631,-39.15,17665.15,-38.4,58806
632,-38.21,17680.55,-38.1,58985
633,-39.91,17697.1,-38.3,59311
634,-40.1,17716.2,-38.5,59631
635,-37.23,17732.2,-38.5,59946
636,-39.38,17747.1,-39.2,60258
637,-38.89,17763.65,-39.2,60567
638,-38.73,17779.35,-38.6,60872
639,-39.59,17796.05,-39.5,61173
640,-38.11,17812.05,-39.8,61470
641,-40.21,17829.1,-40,61762
642,-39.76,17848.3,-40.2,62049
643,-38.51,17865.05,-40.5,62333
644,-39.45,17881.35,-40.4,62615
645,-38.79,17898,-40.3,62894
646,-39.38,17914.55,,
647,-37.83,17930.05,,
648,-38.93,17944.95,,
649,-38.14,17960.2,,
650,-40.74,17978.5,,
651,-39.74,17998.85,,
652,-39.95,18017.75,,
653,-38.73,18035.25,,
654,-39.9,18052.65,,
655,-39.49,18071.05,,
656,-38.52,18087.55,,
657,-39.82,18104.6,,
658,-39.67,18123.2,,
659,-39.09,18140.75,,
660,-39.49,18158.05,,
661,-41.06,18178.95,,
662,-39.56,18199.95,,
663,-41.73,18222.8,,
664,-39.13,18245,,
665,-40.67,18264.55,,
666,-39.82,18285.2,,
667,-39.16,18303.2,,
668,-39.96,18321.45,,
669,-39.31,18339.9,,
670,-40.11,18358.65,,
671,-41.2,18381.1,,
672,-41.06,18405.6,,
673,-40.09,18427.7,,
674,-40.26,18448.05,,
675,-40.77,18469.8,,
676,-40.35,18491.75,,
677,-38.59,18510.15,,
678,-40.4,18528.65,,
679,-40.14,18549.5,,
680,-40.18,18569.95,,
681,-38.71,18588.2,,
682,-40.52,18607.15,,
683,-40.86,18629.8,,
684,-40.19,18651.8,,
685,-40.97,18674.1,,
686,-40.23,18696.5,,
687,-39.85,18716.6,,
688,-40.8,18737.9,,
689,-41.05,18761.7,,
690,-41.5,18787.35,,
691,-40.47,18811.7,,
692,-41.04,18834.8,,
693,-41.4,18860.2,,
694,-39.53,18882.65,,
695,-40.7,18903.35,,
696,-40.01,18924.85,,
697,-39.28,18943.8,,
698,-40.31,18963.35,,
699,-37.8,18981.15,,
700,-40.73,18999.85,,
701,-40.55,19022.6,,
702,-39.32,19042.75,,
703,-40.73,19063.3,,
704,-40.11,19085.25,,
705,-40.31,19106.3,,
706,-40.55,19128.25,,
707,-38.93,19147.95,,
708,-40.33,19167.2,,
709,-41.97,19193.1,,
710,-40.75,19219.9,,
711,-41.11,19244.2,,
712,-41.01,19269.15,,
713,-40.12,19291.9,,
714,-41.1,19314.9,,
715,-40.78,19339.35,,
716,-41.31,19364.35,,
717,-41.05,19390,,
718,-39.94,19412.65,,
719,-41.56,19436.7,,
720,-41,19463,,
721,-41.14,19488.2,,
722,-40.14,19511.55,,
723,-40.8,19534.05,,
724,-41.08,19558.65,,
725,-42.54,19588.7,,
726,-40.86,19618.2,,
727,-41.26,19643.5,,
728,-40.79,19668.65,,
729,-41.68,19695,,
730,-42.36,19726.2,,
731,-41.82,19757.85,,
732,-42.04,19788.3,,
733,-40.41,19815.1,,
734,-39.89,19836.5,,
735,-41.46,19860.5,,
736,-41.34,19887.75,,
