#,FIRST,LAST,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EF,,
121,Draymond,Green,76,32.5,10.2,3.6,8.6,41.8,1.1,3.5,30.8,2,2.8,70.9,1.3,6.6,7.9,7,2,1.4,2.4,20.3,,
122,Jusuf,Nurkic,65,21.4,10.2,4.2,8.2,50.7,0,0,0,1.8,3.2,57.1,2.4,4.8,7.2,1.9,0.8,1.1,2.2,13.5,,
123,Tony,Parker,63,25.4,10.1,4.2,9,46.6,0.4,1.1,33.3,1.3,1.9,72.6,0.1,1.7,1.8,4.5,0.5,0,1.4,10.3,,
124,Kyle,Korver,67,26.2,10.1,3.6,7.7,46.4,2.4,5.4,45.1,0.6,0.6,90.5,0.1,2.7,2.8,1.6,0.5,0.3,1,10.1,,
125,Maurice,Harkless,77,28.9,10,4.1,8.1,50.3,0.9,2.5,35.1,1,1.6,62.1,1.6,2.8,4.4,1.1,1.1,0.9,1.1,11.9,,
126,Trevor,Booker,71,24.7,10,4.3,8.3,51.6,0.4,1.1,32.1,1,1.5,67.3,2,6,8,1.9,1.1,0.4,1.8,15.1,,
127,Gorgui,Dieng,82,32.4,10,4,8.1,50.2,0.2,0.5,37.2,1.7,2,81.4,2.3,5.6,7.9,1.9,1.1,1.2,1.3,16.3,,
128,Shabazz,Muhammad,78,19.4,9.9,3.7,7.7,48.2,0.6,1.9,33.8,1.9,2.4,77.4,1.1,1.7,2.8,0.4,0.3,0.1,0.7,8.3,,
129,Jamal,Murray,82,21.5,9.9,3.6,8.9,40.4,1.4,4.2,33.4,1.3,1.5,88.3,0.5,2.1,2.6,2.1,0.6,0.3,1.4,8.6,,
130,Ty,Lawson,69,25.1,9.9,3.4,7.6,45.4,0.5,1.7,28.8,2.5,3.1,79.7,0.6,2,2.6,4.8,1.1,0.1,1.9,11.8,,
131,Jeremy,Lamb,62,18.4,9.7,3.6,7.9,46,0.7,2.4,28.1,1.8,2.1,85.3,0.5,3.8,4.3,1.2,0.4,0.4,0.7,10.8,,
132,Kenneth,Faried,61,21.2,9.6,3.7,6.8,54.8,0,0.1,0,2.1,3.1,69.3,3,4.6,7.6,0.9,0.7,0.7,1,14.5,,
133,E'Twaun,Moore,73,24.9,9.6,3.9,8.5,45.7,1.1,2.8,37,0.8,1,77,0.5,1.6,2.1,2.2,0.7,0.4,0.8,9.4,,
134,Patrick,Beverley,67,30.7,9.5,3.4,8.1,42,1.6,4.3,38.2,1.1,1.4,76.8,1.4,4.4,5.9,4.2,1.5,0.4,1.5,14.9,,
135,Patty,Mills,80,21.9,9.5,3.4,7.8,44,1.8,4.4,41.4,0.8,1,82.5,0.3,1.5,1.8,3.5,0.8,0,1.3,9.8,,
136,Nik,Stauskas,80,27.4,9.5,3.1,7.9,39.6,1.7,4.5,36.8,1.5,1.9,81.3,0.3,2.6,2.8,2.4,0.6,0.4,1.6,8.9,,
