Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Objective Words,Count,Objective Bigrams,Count,Objective Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
discuss,214,"('critical', 'thinking')",26,"('students', 'college', 'career')",5,understanding,146,"('learning', 'Learn')",19,"('deepen', 'skills', 'innovative')",5,media,46,"('digital', 'learning')",15,"('social', 'media', 'education')",4,community,360,"('school', 'district')",50,"('Participants', 'gain', 'understanding')",8
digital,214,"('learning', 'environment')",26,"('University', 'Texas', 'Austin')",5,Attendees,146,"('digital', 'learning')",19,"('design', 'thinking', 'process')",5,school,45,"('centered', 'learning')",15,"('learning', 'student', 'centered')",4,through,360,"('Attendees', 'learn')",49,"('improve', 'student', 'outcomes')",8
data,212,"('We', ""'ll"")",26,"('past', 'few', 'years')",5,understand,143,"('blended', 'learning')",19,"('compare', 'learn', 'specific')",5,equity,44,"('online', 'learning')",15,"('culturally', 'responsive', 'education')",4,create,359,"('critical', 'thinking')",47,"('liberal', 'arts', 'education')",8
experience,212,"('around', 'world')",25,"('creative', 'problem', 'solving')",5,ways,139,"('students', ""'"")",19,"('elements', 'bring', 'classrooms')",5,classroom,42,"('student', 'success')",14,"('problem', 'based', 'learning')",4,educational,349,"('computer', 'science')",47,"('share', 'lessons', 'learned')",8
help,209,"('student', 'data')",25,"('share', 'best', 'practices')",5,skills,135,"('professional', 'learning')",19,"('Participants', 'deepen', 'skills')",5,online,40,"('equity', 'access')",14,"('learning', 'design', 'thinking')",4,social,345,"('Participants', 'able')",46,"('science', 'technology', 'engineering')",8
explore,208,"('student', 'success')",25,"('workshops', 'Ready', 'implementation')",4,best,132,"('student', 'success')",18,"('ready-to-use', 'elements', 'bring')",5,entrepreneurship,38,"('coding', 'education')",14,"('learning', 'teacher', 'collaboration')",4,&,336,"('higher', 'ed')",45,"('higher', 'ed', 'edtech')",8
create,206,"('do', ""n't"")",25,"('Technology', 'Test', 'Kitchen')",4,community,132,"('learning', 'experiences')",17,"('You', ""'ll"", 'learn')",5,community,38,"('community', 'engagement')",14,"('learning', 'competency-based', 'education')",4,development,333,"('school', 'districts')",43,"('Learn', 'best', 'practices')",8
&,192,"('students', 'learn')",25,"('learning', 'experiences', 'students')",4,using,129,"('virtual', 'reality')",16,"('those', 'innovative', 'practices')",5,literacy,37,"('college', 'career')",13,"('innovation', 'higher', 'education')",4,help,331,"('lessons', 'learned')",43,"('ed', 'edtech', 'innovation')",8
community,190,"('it', ""'s"")",25,"('project', 'based', 'learning')",4,educational,128,"('case', 'studies')",16,"('skills', 'innovative', 'practices')",5,collaboration,37,"('21st', 'century')",13,"('higher', 'education', 'leadership')",4,strategies,329,"('students', 'teachers')",43,"('data-driven', 'decision', 'making')",7
educational,175,"('next', 'generation')",25,"('schools', 'across', 'country')",4,challenges,127,"('Participants', 'develop')",16,"('innovative', 'practices', 'prepared')",5,personalized,36,"('data', 'analytics')",13,"('thinking', 'emerging', 'technology')",4,experience,319,"('learning', 'environment')",42,"('session', 'we', ""'ll"")",7
