Description Words,Count,Description Bigrams,Count,Description Trigrams,Count,Tag Words,Count,Tag Bigrams,Count,Tag Trigrams,Count,Everything Words,Count,Everything Bigrams,Count,Everything Trigrams,Count
challenges,51,"('digital', 'tools')",8,"('share', 'learn', 'others')",3,skills,10,"('innovation', 'cpe')",5,"('cpe', 'credit', 'improv')",3,experience,62,"('student', 'voice')",10,"('social', 'emotional', 'learning')",4
success,51,"('school', 'districts')",8,"('Buck', 'Institute', 'Education')",3,makers,10,"('instructional', 'design')",5,"('english', 'language', 'learner')",3,strategies,62,"('&', 'A')",9,"('Gates', 'Foundation', 'Join')",4
Join,51,"('job', 'market')",7,"('Student', 'Succeeds', 'Act')",3,virtual,10,"('credit', 'design')",4,"('cpe', 'credit', 'entrepreneurial')",3,tools,61,"('education', 'cpe')",9,"('Technology', 'Test', 'Kitchen')",4
ways,50,"('student', 'engagement')",7,"('continue', 'share', 'learn')",3,engagement,9,"('online', 'education')",4,"('cpe', 'credit', 'data')",3,thinking,60,"('Q', '&')",9,"('improve', 'student', 'outcomes')",4
Hosted,50,"('teachers', 'students')",7,"('implementation', 'summit', 'and/or')",3,online,9,"('century', 'skills')",4,"('blended', 'learning', 'personalized')",3,help,60,"('across', 'country')",9,"('Ready', 'implementation', 'summit')",4
create,50,"('school', 'district')",7,"('audience', 'Q', '&')",3,media,9,"('learning', 'analytics')",4,"('credit', 'student', 'voice')",3,educational,59,"('digital', 'learning')",9,"('competency-based', 'education', 'cpe')",4
EdTech,50,"('student', 'learning')",7,"('plan', 'continue', 'next')",3,science,8,"('community', 'college')",4,"('leadership', 'cpe', 'credit')",3,digital,59,"('prepare', 'students')",9,"('school', 'district', 'leaders')",4
development,49,"('where', 'students')",7,"('R', '&', 'D')",3,strategies,8,"('entrepreneurial', 'learning')",4,"('analytics', 'civitas', 'learning')",3,success,58,"('global', 'education')",9,"('five', 'kids', 'learning')",3
own,49,"('hands-on', 'workshop')",7,"('culminating', 'Happy', 'Hour')",3,makerspaces,8,"('online', 'learning')",4,"('cpe', 'credit', 'blended')",3,higher,57,"('game-based', 'learning')",9,"('cpe', 'credit', 'project')",3
where,48,"('learning', 'attention')",6,"('support', 'personalized', 'learning')",3,privacy,8,"('teacher', 'leadership')",4,"('credit', 'entrepreneurial', 'learning')",3,teacher,54,"('learning', 'student')",8,"('education', 'learning', 'analytics')",3
educational,47,"('learning', 'experience')",6,"('and/or', 'continue', 'share')",3,collaboration,8,"('credit', 'professional')",4,"('civitas', 'learning', 'summit')",3,college,54,"('student', 'engagement')",8,"('cpe', 'credit', 'data')",3
future,46,"('panel', 'discuss')",6,"('students', 'around', 'world')",3,blended,8,"('educational', 'equality')",4,"('virtual', 'reality', 'learning')",3,challenges,52,"('lessons', 'learned')",8,"('cpe', 'credit', 'educational')",3
digital,46,"('students', ""'"")",6,"('21st', 'century', 'skills')",3,based,8,"('education', 'makerspaces')",4,"('college', 'career', 'readiness')",3,future,51,"('music', 'education')",8,"('share', 'learn', 'others')",3
workshop,46,"('education', 'system')",6,"('summit', 'and/or', 'continue')",3,libraries,8,"('teacher', 'training')",4,"('cpe', 'credit', 'makers')",3,Join,51,"('digital', 'tools')",8,"('credit', 'entrepreneurial', 'learning')",3
teaching,45,"('music', 'education')",6,"('real', 'life', 'experiences')",3,storytelling,8,"('hip', 'hop')",3,"('cpe', 'credit', 'project')",3,ways,50,"('school', 'districts')",8,"('cpe', 'credit', 'entrepreneurial')",3
thinking,44,"('session', 'explore')",6,"('whole', 'child', 'education')",3,community,8,"('credit', 'college')",3,"('credit', 'blended', 'learning')",3,Hosted,50,"('based', 'learning')",8,"('civitas', 'learning', 'summit')",3
needs,44,"('interactive', 'session')",6,"('Happy', 'Hour', 'share-out')",3,reality,8,"('learning', 'environments')",3,"('education', 'learning', 'analytics')",3,research,50,"('learning', 'attention')",7,"('Happy', 'Hour', 'share-out')",3
research,43,"('learning', 'tools')",6,"('learn', 'others', 'summits')",3,readiness,7,"('education', 'policy')",3,"('teaching', '&', 'learning')",3,teaching,50,"('job', 'market')",7,"('whole', 'child', 'education')",3
experiences,43,"('Based', 'Learning')",6,"('Independent', 'School', 'District')",3,research,7,"('language', 'learner')",3,"('skills', 'training', 'jobs')",2,create,50,"('educational', 'equity')",7,"('learning', 'analytics', 'civitas')",3
need,43,"('We', ""'ll"")",6,"('specific', 'plan', 'continue')",3,centered,7,"('leadership', 'cpe')",3,"('credit', 'student', 'centered')",2,EdTech,50,"('college', 'career')",7,"('summits', 'culminating', 'Happy')",3
best,42,"('digital', 'learning')",6,"('session', 'bring', 'together')",2,analytics,7,"('credit', 'educational')",3,"('disabilities', 'cpe', 'credit')",2,own,49,"('critical', 'thinking')",7,"('Hosted', 'Civitas', 'Learning')",3
discussion,42,"('critical', 'thinking')",6,"('Massive', 'Open', 'Online')",2,career,7,"('english', 'language')",3,"('learning', 'personalized', 'learning')",2,where,48,"('century', 'skills')",7,"('equity', 'cpe', 'credit')",3
innovative,41,"('students', 'teachers')",6,"('aid', 'student', 'progress')",2,diversity,7,"('education', 'professional')",3,"('storytelling', 'cpe', 'credit')",2,social,47,"('teachers', 'students')",7,"('credit', 'student', 'voice')",3
support,40,"('kids', 'learning')",6,"('Learning', 'teacher', 'organizational')",2,success,7,"('college', 'career')",3,"('learning', 'disabilities', 'cpe')",2,workshop,46,"('middle', 'school')",7,"('Buck', 'Institute', 'Education')",3
impact,40,"('explore', 'ways')",6,"('culture', 'aid', 'student')",2,21st,6,"('hands-on', 'learning')",3,"('credit', 'educational', 'equality')",2,personalized,45,"('school', 'district')",7,"('Student', 'Succeeds', 'Act')",3
engage,40,"('higher', 'ed')",6,"('high', 'school', 'students')",2,assessment,6,"('credit', 'entrepreneurial')",3,"('educational', 'equity', 'cpe')",2,needs,44,"('instructional', 'design')",7,"('audience', 'Q', '&')",3
leaders,40,"('gap', 'between')",6,"('rates', 'create', 'campus')",2,classroom,6,"('equity', 'access')",3,"('professional', 'development', 'competency-based')",2,best,43,"('student', 'learning')",7,"('cpe', 'credit', 'improv')",3
college,40,"('too', 'often')",6,"('21st', 'century', 'economy')",2,training,6,"('credit', 'makers')",3,"('development', 'competency-based', 'education')",2,experiences,43,"('hip', 'hop')",7,"('R', '&', 'D')",3
ideas,39,"('students', 'global')",5,"('higher', 'education', 'landscape')",2,coding,6,"('learning', 'teaching')",3,"('development', 'cpe', 'credit')",2,need,43,"('where', 'students')",7,"('students', 'around', 'world')",3
